1110964170125|-1||debug||com.p6spy.engine.common.P6SpyOptions reloading properties
[2005/03/16 18:09:30.140]|-1||info||Using properties file: C:\eclipse301\workspace\orMappingTest\bin\spy.properties
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getStackTrace, using: false
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getAppender, using: com.p6spy.engine.logging.appender.Log4jLogger
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getFilter, using: false
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getDeregisterDrivers, using: true
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getUsePrefix, using: false
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getExecutionThreshold, using: 0
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getAutoflush, using: true
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getExclude, using: 
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getExcludecategories, using: info,debug,result,batch
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getInclude, using: 
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getIncludecategories, using: 
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getLogfile, using: spy.log
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getRealdriver, using: oracle.jdbc.driver.OracleDriver
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getRealdriver2, using: 
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getRealdriver3, using: 
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getAppend, using: true
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getSpydriver, using: com.p6spy.engine.spy.P6SpyDriver
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getDateformat, using: [yyyy/MM/dd HH:mm:ss.S]
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getDateformatter, using: java.text.SimpleDateFormat@ff1cf453
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getStringmatcher, using: com.p6spy.engine.common.SubstringMatcher
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getStringMatcherEngine, using: com.p6spy.engine.common.SubstringMatcher@ee22f7
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getStackTraceClass, using: 
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getSQLExpression, using: null
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getReloadProperties, using: false
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getReloadPropertiesInterval, using: 60
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getJNDIContextFactory, using: null
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getJNDIContextProviderURL, using: null
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getJNDIContextCustom, using: null
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getRealDataSource, using: null
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getRealDataSourceClass, using: null
[2005/03/16 18:09:30.140]|-1||info||No value in environment for: getRealDataSourceProperties, using: null
